ICICIBANK	6.90%	1119.55	0.00 (0.00%)	787386.68	1173.00	899.00	17.48	19.26	3.37	33174.82
AXISBANK	2.57%	1187.90	0.00 (0.00%)	366983.75	1242.20	927.15	7.96	14.76	2.44	25484.93
BHARTIARTL	2.33%	1438.40	0.00 (0.00%)	859166.15	1447.85	819.00	-0.53	138.98	7.99	13583.2
RELIANCE	12.86%	2926.65	0.00 (0.00%)	1980080.87	3029.00	2220.30	9.30	47.09	3.84	23519
HDFCBANK	8.10%	1574.15	0.00 (0.00%)	1197009.89	1757.50	1363.55	16.96	19.68	2.73	58157.53
TCS	4.91%	3831.65	0.00 (0.00%)	1386324.5	4254.75	3156.00	59.60	31.32	19.32	16351
SBIN	2.54%	839.10	0.00 (0.00%)	748864.19	912.00	543.20	18.81	12.26	2.14	96524.21
INFY	7.66%	1485.20	0.00 (0.00%)	616639.49	1733.00	1262.25	36.58	22.64	7.60	11197
BPCL	0.46%	613.35	0.00 (0.00%)	133051.12	687.95	331.45	5.76	4.75	1.78	7883.14
ASIANPAINT	1.95%	2905.80	0.00 (0.00%)	278723.69	3568.00	2670.10	31.29	52.38	15.12	1745.21
MARUTI	1.37%	12849.35	0.00 (0.00%)	403986.87	13073.95	9254.15	11.51	30.59	4.81	5802
TITAN	1.37%	3382.30	0.00 (0.00%)	300275.91	3886.95	2855.10	31.20	84.70	20.76	1258
HCLTECH	1.53%	1438.75	0.00 (0.00%)	390428.57	1697.35	1087.05	27.38	33.39	9.88	4343
BAJFINANCE	2.37%	7217.75	0.00 (0.00%)	446776.07	8192.00	6187.80	22.00	35.34	6.21	8604.95
SHREECEM	0.46%	27538.90	0.00 (0.00%)	99362.41	30737.75	22605.60	7.47	40.22	4.87	1464.09
TATASTEEL	1.37%	182.23	0.00 (0.00%)	227487.32	183.87	108.10	11.98	16.86	1.66	7884.67
TATAMOTORS	1.05%	988.70	0.00 (0.00%)	362573.36	1065.60	557.70	19.50	64.03	10.94	2453.97
POWERGRID	1.04%	324.65	0.00 (0.00%)	301944.1	348.70	177.53	19.29	19.64	3.48	10169.98
HEROMOTOCO	0.43%	5790.20	0.00 (0.00%)	115764.11	5859.00	2745.05	17.92	28.31	6.44	1538.19
HINDALCO	0.94%	673.90	0.00 (0.00%)	151439.92	715.25	407.45	5.89	41.12	2.38	2398
NTPC	0.99%	371.30	0.00 (0.00%)	360037.21	393.20	183.35	12.85	20.60	2.40	13881.59
LT	2.74%	3630.30	0.00 (0.00%)	499077.01	3919.90	2327.10	13.69	55.78	7.75	4500.96
KOTAKBANK	3.51%	1715.75	0.00 (0.00%)	341077.53	1987.75	1543.85	14.06	24.74	3.53	10594.54
JSWSTEEL	0.94%	916.90	0.00 (0.00%)	224223.67	928.95	723.00	7.77	27.79	2.98	4652
ITC	3.03%	432.30	0.00 (0.00%)	539714.51	499.70	399.35	29.08	26.42	7.47	6958.18
GRASIM	0.85%	2450.15	0.00 (0.00%)	163847.66	2489.75	1689.28	4.44	106.89	3.09	70.24
ULTRACEMCO	1.02%	11044.80	0.00 (0.00%)	318860.41	11099.95	7987.65	9.62	45.82	5.40	4101.43
HINDUNILVR	2.67%	2528.70	0.00 (0.00%)	594141.14	2769.65	2172.05	19.99	58.37	11.66	3637
SUNPHARMA	1.34%	1506.85	0.00 (0.00%)	361543.79	1638.85	977.30	13.89	118.85	15.25	2011.41
WIPRO	1.01%	476.90	0.00 (0.00%)	249358.06	545.90	375.05	15.67	27.35	4.32	3924.2
M&M	1.18%	2787.55	0.00 (0.00%)	346639.88	2886.00	1366.00	18.19	32.35	6.63	3665.19
ONGC	0.78%	275.50	0.00 (0.00%)	346586.69	292.95	154.25	18.35	8.55	1.13	19569.7
NESTLEIND	0.87%	2537.30	0.00 (0.00%)	244635.6	2769.30	2145.00	108.52	76.59	73.10	1384.65
HDFCLIFE	0.72%	572.70	0.00 (0.00%)	123184.57	710.60	511.40	9.59	78.52	8.40	448.42
CIPLA	0.68%	1540.95	0.00 (0.00%)	124415.53	1549.00	957.00	10.66	33.49	4.45	1421.87
SBILIFE	0.65%	1452.70	0.00 (0.00%)	145490.73	1569.40	1227.65	14.14	76.80	9.76	850.13
BAJAJFINSV	1.20%	1579.10	0.00 (0.00%)	252128.91	1741.00	1419.05	15.24	215.47	38.39	14.18
BRITANNIA	0.52%	5439.30	0.00 (0.00%)	131015.49	5725.00	4347.70	76.63	62.86	37.14	824.55
ADANIPORTS	0.82%	1393.95	0.00 (0.00%)	301112.57	1621.40	703.00	7.09	147.07	10.32	1654.61
TATACONSUM	0.66%	1124.65	0.00 (0.00%)	107160.57	1269.00	802.35	8.26	96.26	7.88	304.98
TECHM	1.05%	1370.60	0.00 (0.00%)	133897.4	1416.30	1069.35	14.69	62.89	5.78	969.9
INDUSINDBK	0.85%	1484.25	0.00 (0.00%)	115578.73	1694.50	1262.00	14.53	12.91	1.85	9949.08
DRREDDY	0.67%	6060.05	0.00 (0.00%)	101096.4	6505.90	4658.05	13.46	23.30	4.17	1590.3
DIVISLAB	0.77%	4452.35	0.00 (0.00%)	118195.9	4585.00	3295.30	14.82	74.93	8.76	795
BAJAJ-AUTO	0.65%	9904.25	0.00 (0.00%)	276506.61	9944.00	4541.00	21.61	36.97	11.12	2653.91
EICHERMOT	0.49%	4850.65	0.00 (0.00%)	132813.53	4908.00	3160.00	22.15	35.42	8.46	1461.75
COALINDIA	0.51%	488.70	0.00 (0.00%)	301172.53	527.40	223.25	89.54	19.10	17.38	3436.12
UPL	0.60%	550.05	0.00 (0.00%)	41287.17	696.00	447.80	12.77	46.35	5.48	38
APOLLOHOSP	0.61%	6168.60	0.00 (0.00%)	88695	6874.45	4726.00	16.64	87.79	11.51	495.4
HDFCBANK	8.10%	1574.15	0.00 (0.00%)	1197009.89	1757.50	1363.55	16.96	19.68	2.73	58157.53
